nohup: 忽略输入
mode: train
batch: 512
city_t: 40
steps: 13000
embed: 128
hidden: 128
clip_logits: 10
softmax_T: 1.0
optim: Adam
init_min: -0.08
init_max: 0.08
n_glimpse: 1
n_process: 3
decode_type: sampling
lr: 0.001
is_lr_decay: True
lr_decay: 0.96
lr_decay_step: 5000.0
act_model_path: Pt/train20_1113_12_12_step14999_act.pt
seed: 1
alpha: 0.99
islogger: True
issaver: True
log_step: 10
log_dir: ./Csv/
model_dir: ./Pt/
pkl_dir: ./Pkl/
cuda_dv: 0
dump_date: 0522_11_07
task: train40
pkl_path: ./Pkl/train40.pkl
n_samples: 6656000

generate ./Csv/0522_11_19_train40_param.csv
step:1960/13000, actic loss:-21.492, critic loss:6.599, L:13.192, 0min2sec
step:1970/13000, actic loss:-21.385, critic loss:6.568, L:13.158, 0min2sec
step:1980/13000, actic loss:-21.278, critic loss:6.536, L:13.124, 0min2sec
step:1990/13000, actic loss:-21.174, critic loss:6.505, L:13.089, 0min2sec
step:2000/13000, actic loss:-21.075, critic loss:6.475, L:13.056, 0min2sec
step:2010/13000, actic loss:-20.973, critic loss:6.444, L:13.023, 0min2sec
step:2020/13000, actic loss:-20.873, critic loss:6.414, L:12.990, 0min2sec
step:2030/13000, actic loss:-20.768, critic loss:6.384, L:12.958, 0min2sec
step:2040/13000, actic loss:-20.667, critic loss:6.355, L:12.926, 0min2sec
step:2050/13000, actic loss:-20.568, critic loss:6.325, L:12.894, 0min2sec
step:2060/13000, actic loss:-20.470, critic loss:6.295, L:12.862, 0min2sec
step:2070/13000, actic loss:-20.375, critic loss:6.267, L:12.831, 0min2sec
step:2080/13000, actic loss:-20.280, critic loss:6.238, L:12.800, 0min2sec
step:2090/13000, actic loss:-20.183, critic loss:6.210, L:12.768, 0min2sec
step:2100/13000, actic loss:-20.087, critic loss:6.182, L:12.737, 0min2sec
step:2110/13000, actic loss:-19.992, critic loss:6.154, L:12.707, 0min2sec
step:2120/13000, actic loss:-19.900, critic loss:6.126, L:12.676, 0min2sec
step:2130/13000, actic loss:-19.807, critic loss:6.098, L:12.646, 0min2sec
step:2140/13000, actic loss:-19.715, critic loss:6.071, L:12.616, 0min2sec
step:2150/13000, actic loss:-19.625, critic loss:6.044, L:12.586, 0min2sec
step:2160/13000, actic loss:-19.536, critic loss:6.017, L:12.557, 0min2sec
step:2170/13000, actic loss:-19.447, critic loss:5.990, L:12.527, 0min2sec
step:2180/13000, actic loss:-19.358, critic loss:5.964, L:12.498, 0min2sec
step:2190/13000, actic loss:-19.270, critic loss:5.937, L:12.469, 0min2sec
step:2200/13000, actic loss:-19.185, critic loss:5.912, L:12.441, 0min2sec
step:2210/13000, actic loss:-19.099, critic loss:5.886, L:12.412, 0min2sec
step:2220/13000, actic loss:-19.011, critic loss:5.861, L:12.385, 0min2sec
step:2230/13000, actic loss:-18.925, critic loss:5.836, L:12.357, 0min2sec
step:2240/13000, actic loss:-18.840, critic loss:5.811, L:12.329, 0min2sec
step:2250/13000, actic loss:-18.757, critic loss:5.786, L:12.302, 0min2sec
step:2260/13000, actic loss:-18.677, critic loss:5.762, L:12.275, 0min2sec
step:2270/13000, actic loss:-18.596, critic loss:5.737, L:12.248, 0min2sec
step:2280/13000, actic loss:-18.515, critic loss:5.713, L:12.221, 0min2sec
step:2290/13000, actic loss:-18.436, critic loss:5.689, L:12.195, 0min2sec
step:2300/13000, actic loss:-18.357, critic loss:5.665, L:12.168, 0min2sec
step:2310/13000, actic loss:-18.279, critic loss:5.642, L:12.142, 0min2sec
step:2320/13000, actic loss:-18.200, critic loss:5.618, L:12.116, 0min2sec
step:2330/13000, actic loss:-18.124, critic loss:5.595, L:12.091, 0min2sec
step:2340/13000, actic loss:-18.044, critic loss:5.573, L:12.065, 0min2sec
step:2350/13000, actic loss:-17.967, critic loss:5.550, L:12.040, 0min2sec
step:2360/13000, actic loss:-17.891, critic loss:5.528, L:12.015, 0min2sec
step:2370/13000, actic loss:-17.816, critic loss:5.505, L:11.990, 0min2sec
step:2380/13000, actic loss:-17.742, critic loss:5.483, L:11.965, 0min2sec
step:2390/13000, actic loss:-17.669, critic loss:5.461, L:11.941, 0min2sec
step:2400/13000, actic loss:-17.596, critic loss:5.439, L:11.916, 0min2sec
step:2410/13000, actic loss:-17.523, critic loss:5.417, L:11.892, 0min2sec
step:2420/13000, actic loss:-17.452, critic loss:5.396, L:11.868, 0min2sec
step:2430/13000, actic loss:-17.383, critic loss:5.375, L:11.845, 0min2sec
step:2440/13000, actic loss:-17.309, critic loss:5.354, L:11.821, 0min2sec
step:2450/13000, actic loss:-17.238, critic loss:5.333, L:11.798, 0min2sec
step:2460/13000, actic loss:-17.168, critic loss:5.312, L:11.774, 0min2sec
step:2470/13000, actic loss:-17.100, critic loss:5.292, L:11.751, 0min1sec
step:2480/13000, actic loss:-17.032, critic loss:5.271, L:11.729, 0min2sec
step:2490/13000, actic loss:-16.965, critic loss:5.251, L:11.706, 0min2sec
step:2500/13000, actic loss:-16.898, critic loss:5.231, L:11.684, 0min2sec
step:2510/13000, actic loss:-16.832, critic loss:5.211, L:11.661, 0min2sec
step:2520/13000, actic loss:-16.765, critic loss:5.191, L:11.639, 0min2sec
step:2530/13000, actic loss:-16.700, critic loss:5.171, L:11.617, 0min2sec
step:2540/13000, actic loss:-16.635, critic loss:5.152, L:11.595, 0min2sec
step:2550/13000, actic loss:-16.570, critic loss:5.132, L:11.573, 0min2sec
step:2560/13000, actic loss:-16.506, critic loss:5.113, L:11.552, 0min2sec
step:2570/13000, actic loss:-16.442, critic loss:5.094, L:11.531, 0min2sec
step:2580/13000, actic loss:-16.379, critic loss:5.075, L:11.510, 0min2sec
step:2590/13000, actic loss:-16.316, critic loss:5.056, L:11.489, 0min2sec
step:2600/13000, actic loss:-16.254, critic loss:5.037, L:11.468, 0min2sec
step:2610/13000, actic loss:-16.193, critic loss:5.019, L:11.447, 0min2sec
step:2620/13000, actic loss:-16.132, critic loss:5.000, L:11.426, 0min2sec
step:2630/13000, actic loss:-16.071, critic loss:4.982, L:11.406, 0min2sec
step:2640/13000, actic loss:-16.010, critic loss:4.964, L:11.386, 0min2sec
step:2650/13000, actic loss:-15.951, critic loss:4.946, L:11.366, 0min2sec
step:2660/13000, actic loss:-15.892, critic loss:4.928, L:11.346, 0min2sec
step:2670/13000, actic loss:-15.833, critic loss:4.911, L:11.326, 0min2sec
step:2680/13000, actic loss:-15.774, critic loss:4.893, L:11.307, 0min2sec
step:2690/13000, actic loss:-15.716, critic loss:4.876, L:11.287, 0min2sec
step:2700/13000, actic loss:-15.658, critic loss:4.859, L:11.268, 0min2sec
step:2710/13000, actic loss:-15.600, critic loss:4.842, L:11.249, 0min2sec
step:2720/13000, actic loss:-15.546, critic loss:4.825, L:11.230, 0min2sec
step:2730/13000, actic loss:-15.489, critic loss:4.808, L:11.211, 0min2sec
step:2740/13000, actic loss:-15.433, critic loss:4.791, L:11.193, 0min2sec
